dataset,ratio,method,n_seeds,training_seeds,best_balanced_accuracy_mean,best_balanced_accuracy_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,accuracy_mean,accuracy_std,worst_class_recall_mean,worst_class_recall_std,class_cvar20_mean,class_cvar20_std
organsmnist,0.02,facility,5,"42,43,44,45,46",0.630381112005212,0.016652839769043394,0.6264316240079598,0.01597027399026577,0.6334655035685963,0.01803046968836213,0.3491838023088023,0.023600016559131784,0.39153709779303253,0.013777678699982141
organsmnist,0.02,forgetting,5,"42,43,44,45,46",0.4634281637920906,0.02092066645711689,0.45594687239158876,0.023893197383590983,0.5238926022431177,0.017676243636444173,0.22173215414954425,0.025687326103084888,0.2389467480946749,0.015519343635920542
organsmnist,0.02,fps,5,"42,43,44,45,46",0.5972017831414953,0.023783122706632177,0.5908400037262476,0.025010930973845123,0.6161323212869605,0.030727227691947266,0.32093806240575906,0.04087753257726561,0.3794483184758883,0.017861232007790225
organsmnist,0.02,graph_a2,5,"42,43,44,45,46",0.6235627829484526,0.014199780043149908,0.6198315880541333,0.01487001227366537,0.6372720063441712,0.011254257479806882,0.33147997835497833,0.028044454382952878,0.40689396244616227,0.014214996668350986
organsmnist,0.02,herding,5,"42,43,44,45,46",0.6336474828773888,0.011939879624261856,0.6301521654826291,0.009894132724518303,0.6490993542539935,0.012340574704250856,0.3553436147186147,0.040985473515963884,0.39953103421858566,0.01976328616062034
organsmnist,0.02,random,5,"42,43,44,45,46",0.6211761410641021,0.021879532843057922,0.6175165436852261,0.021228136588539826,0.6440466749745101,0.02375622621904881,0.36098520075451496,0.040039394926751445,0.3942653621393198,0.02965242405367078
organsmnist,0.05,el2n,5,"42,43,44,45,46",0.5301662914666694,0.011015758687783326,0.5284640813315833,0.011080621527033027,0.529466409878781,0.00976178533732284,0.12077438570364855,0.014102291116671165,0.2213748529889995,0.01137873478002925
organsmnist,0.05,eva,5,"42,43,44,45,46",0.6380659232793964,0.012337816916409951,0.6317745322618089,0.008870480336045395,0.6649824402401722,0.0068074204723191,0.33538259805113735,0.023034866840317005,0.36951876754113216,0.014886890923082775
organsmnist,0.05,facility,5,"42,43,44,45,46",0.6890078124017758,0.006984153580527607,0.6859891956561963,0.005820174660502391,0.7230769230769231,0.004694722842595919,0.3890553812604374,0.025962335862107406,0.42415782620074166,0.007410524067349884
organsmnist,0.05,forgetting,5,"42,43,44,45,46",0.5455286039352625,0.00911114716196421,0.5403601431998641,0.009734626819274145,0.6009516256938937,0.0069953409377302425,0.19954441913439636,0.020156557453876026,0.258937606476494,0.00888544976652506
organsmnist,0.05,fps,5,"42,43,44,45,46",0.6750425983120262,0.008661170735232138,0.6727729571955112,0.008541483501949965,0.7017559759827802,0.009637073141306235,0.379444296528579,0.041564364912667566,0.4363501322160398,0.014637373378501744
organsmnist,0.05,graph_a2,5,"42,43,44,45,46",0.6807744705900803,0.0073007314372613855,0.6761712444975738,0.0033665904805818873,0.7128129602356407,0.006827939823407368,0.37123987743499337,0.061684412835239774,0.4268080813589951,0.017911193207128164
organsmnist,0.05,herding,5,"42,43,44,45,46",0.6827849040447753,0.0076867061071228425,0.6784179975659547,0.009012550250545572,0.717775008496658,0.007646950224154671,0.39805641876743203,0.032685213093934684,0.42468468380087615,0.018958049115386802
organsmnist,0.05,random,5,"42,43,44,45,46",0.6705860372302674,0.010112398764773437,0.6661717190496605,0.011263523560257513,0.6994222272572788,0.012080642219968797,0.35254885743211484,0.02616230307098787,0.4162893446661139,0.01202990479287639
