dataset,ratio,method,n_seeds,training_seeds,final_ACC_mean_pct,final_ACC_std_pct,final_BA_mean_pct,final_BA_std_pct
OrganA,5%,EL2N,5,"42,43,44,45,46",79.42175722803465,1.7000953348841001,81.38293799650236,1.51992252434229
OrganA,5%,EVA,5,"42,43,44,45,46",83.39858251771852,1.32476110461516,84.59202958138927,1.14878080647885
OrganA,5%,FPS,5,"42,43,44,45,46",91.61772977837778,0.61047204090478,91.39831762212084,0.59935605329575
OrganA,5%,Facility,5,"42,43,44,45,46",91.92935088311395,0.37538557335393,91.75292867105756,0.40178980096418004
OrganA,5%,Forgetting,5,"42,43,44,45,46",82.56721790977612,0.38306142867445003,83.8452884761286,0.26237790002349
OrganA,5%,Herding,5,"42,43,44,45,46",91.54798065024188,0.7415270373394299,91.50938523579056,0.66247598647703
OrganA,5%,Random,5,"42,43,44,45,46",91.18348520643492,1.06962885589417,91.0878840634694,1.03462814866249
OrganS,2%,EL2N,5,"42,43,44,45,46",38.21230316075676,2.05037031061809,40.64465857683771,1.6776628199704597
OrganS,2%,EVA,5,"42,43,44,45,46",48.93395264529285,2.13323993072523,47.55453916772293,1.88752684479386
OrganS,2%,FPS,5,"42,43,44,45,46",61.61323212869605,3.07272276919472,59.08400037262476,2.50109309738451
OrganS,2%,Facility,5,"42,43,44,45,46",63.34655035685963,1.80304696883621,62.64316240079598,1.59702739902657
OrganS,2%,Forgetting,5,"42,43,44,45,46",52.389260224311776,1.76762436364441,45.59468723915887,2.38931973835909
OrganS,2%,Herding,5,"42,43,44,45,46",64.90993542539934,1.23405747042508,63.015216548262906,0.98941327245183
OrganS,2%,Random,5,"42,43,44,45,46",64.404667497451,2.37562262190488,61.751654368522615,2.1228136588539797
OrganS,5%,EL2N,5,"42,43,44,45,46",52.946640987878105,0.97617853373228,52.84640813315833,1.1080621527032999
OrganS,5%,EVA,5,"42,43,44,45,46",66.49824402401721,0.68074204723191,63.17745322618089,0.8870480336045299
OrganS,5%,FPS,5,"42,43,44,45,46",70.17559759827802,0.96370731413062,67.27729571955112,0.85414835019499
OrganS,5%,Facility,5,"42,43,44,45,46",72.3076923076923,0.46947228425959003,68.59891956561964,0.5820174660502301
OrganS,5%,Forgetting,5,"42,43,44,45,46",60.09516256938937,0.69953409377302,54.036014319986414,0.9734626819274099
OrganS,5%,Herding,5,"42,43,44,45,46",71.7775008496658,0.76469502241546,67.84179975659546,0.90125502505455
OrganS,5%,Random,5,"42,43,44,45,46",69.94222272572787,1.20806422199687,66.61717190496606,1.12635235602575
Path,2%,EL2N,5,"42,43,44,45,46",37.72144846796657,2.6823261482409597,36.36396074905968,2.30770773176955
Path,2%,EVA,5,"42,43,44,45,46",52.97493036211699,4.71462971349844,54.68405804999358,5.59079368097131
Path,2%,FPS,5,"42,43,44,45,46",77.64623955431756,1.62156113362492,74.59850196896365,1.37475501929391
Path,2%,Facility,5,"42,43,44,45,46",85.57381615598885,1.9022591876891,81.09182115566891,1.7865212061688
Path,2%,Forgetting,5,"42,43,44,45,46",40.9275766016713,4.3615957880990095,40.98141165391309,4.40160432305002
Path,2%,Herding,5,"42,43,44,45,46",86.72980501392757,2.70064652826149,81.59876761708982,3.7359724718535
Path,2%,Random,5,"42,43,44,45,46",84.33426183844011,1.6944887495024,81.09622654936656,1.8838487775627002
Path,5%,EL2N,5,"42,43,44,45,46",53.08635097493036,1.61948432985629,53.160094502451386,2.40835875816679
Path,5%,EVA,5,"42,43,44,45,46",68.7966573816156,5.3882408165659,67.96711347245204,4.27365539107736
Path,5%,FPS,5,"42,43,44,45,46",85.2116991643454,1.32148410845979,81.86736130692462,1.54458032550746
Path,5%,Facility,5,"42,43,44,45,46",89.7883008356546,1.43995247044444,86.30417883263381,2.11232876411886
Path,5%,Forgetting,5,"42,43,44,45,46",60.11977715877437,2.33953440197463,61.085824243936436,2.60449970774929
