dataset,ratio,method,n_seeds,training_seeds,paper_mean_pct,paper_std_pct,reproduction_accuracy_mean_pct,reproduction_accuracy_std_pct,reproduction_final_mean_pct,reproduction_final_std_pct,reproduction_minus_paper_pp,absolute_error_pp,absolute_error_over_paper_std,absolute_error_le_4pp,best_test_diagnostic_mean_pct,best_test_minus_final_pp
Blood,2%,Random,5,"42,43,44,45,46",83.2,1.5,83.50774627301959,1.65826311614521,83.04863319885156,1.36974030091951,-0.15136680114844125,0.15136680114844125,0.1009112007656275,True,83.1904907068722,0.14185750802063524
Blood,2%,EL2N,5,"42,43,44,45,46",48.3,6.9,51.037708272434955,9.35949213365123,50.21169713312646,9.87563515178566,1.9116971331264594,1.9116971331264594,0.2770575555255738,True,51.122675274698295,0.9109781415718388
Blood,2%,Forgetting,5,"42,43,44,45,46",67.5,3.3,70.52908506284712,2.9983309238431297,67.88609546665695,2.4862566701778,0.38609546665695404,0.38609546665695404,0.11699862625968305,True,68.02686725609091,0.14077178943395552
Blood,2%,EVA,5,"42,43,44,45,46",75.9,2.5,77.43349897690733,2.79819269131374,73.95068826107479,2.6512185723546002,-1.9493117389252177,1.9493117389252177,0.7797246955700871,True,74.06373178310139,0.11304352202660084
Blood,2%,Facility,5,"42,43,44,45,46",82.7,1.6,83.23297281496639,0.79533629255736,83.33243836344127,1.18133569942515,0.6324383634412669,0.6324383634412669,0.3952739771507918,True,83.58085752364528,0.24841916020400845
Blood,2%,FPS,5,"42,43,44,45,46",78.8,2.1,79.1756796258404,1.7847328928229398,79.53706539187446,1.76070177918595,0.7370653918744665,0.7370653918744665,0.35098351994022214,True,79.80118134763154,0.26411595575707736
Blood,2%,Herding,5,"42,43,44,45,46",83.1,3.0,83.28558900906168,2.2819455490657297,83.3693430162584,2.2425306219742698,0.2693430162584036,0.2693430162584036,0.08978100541946787,True,83.45170189239862,0.0823588761402192
Blood,5%,Random,5,"42,43,44,45,46",90.3,0.5,91.58725518854136,1.7987772062700702,91.89059131910194,1.61333654608594,1.5905913191019465,1.5905913191019465,3.181182638203893,True,92.1445784540392,0.25398713493726177
Blood,5%,EL2N,5,"42,43,44,45,46",72.5,1.7,74.73253434668226,1.23475519928461,75.88608856810289,1.9226286439237399,3.386088568102892,3.386088568102892,1.991816804766407,True,76.33720465000575,0.45111608190285324
Blood,5%,Forgetting,5,"42,43,44,45,46",81.4,2.1,84.67699503069278,0.1830163793335,83.03204309165807,0.38046055830507003,1.632043091658062,1.632043091658062,0.7771633769800295,True,83.38866584003888,0.35662274838081487
Blood,5%,EVA,5,"42,43,44,45,46",86.6,1.7,86.69394913767904,2.3521052489408003,85.01692757634129,2.79010215250011,-1.583072423658706,1.583072423658706,0.9312190727404153,True,85.35968949112704,0.34276191478575413
Blood,5%,Facility,5,"42,43,44,45,46",88.2,2.7,90.75124232680504,1.27207870344988,91.25576660004174,1.16977802970935,3.0557666000417356,3.0557666000417356,1.131765407422865,True,91.39668888106748,0.14092228102573756
Blood,5%,FPS,5,"42,43,44,45,46",89.0,2.5,90.57000876936569,0.9963515755227701,91.0369042416076,0.84199594092493,2.0369042416076013,2.0369042416076013,0.8147616966430405,True,91.17506904145172,0.13816479984411956
