arm,method,n_datasets,datasets,clean_acc,clean_ba,clean_worst_recall,clean_nll,clean_ece15,clean_aurc,corruption_acc,corruption_ba,corruption_worst_recall,corruption_nll,corruption_ece15,corruption_aurc,ba_drop,worst_recall_drop
selection_corrupted_clean_train_pixelate_s3,facility,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7217265850750451,0.7048332933576258,0.45103901506449445,1.0171220545217583,0.12633126330111782,0.1456696101854127,0.5493802135310365,0.5396256153431032,0.23545191088389647,2.49718305898679,0.2705684772629184,0.3093110188840035,0.1652076780145227,0.21558710418059798
selection_corrupted_clean_train_pixelate_s3,forgetting,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.5442171664833388,0.5353839703689631,0.20608419121286786,2.1186225417678504,0.28661902813797235,0.31082516201059374,0.41467801887960737,0.4015971462938192,0.0927906737775647,3.8799774732043857,0.4097188299749203,0.46596510353005405,0.13378682407514386,0.11329351743530318
selection_corrupted_clean_train_pixelate_s3,fps,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.660850390705853,0.6575893721293627,0.3425457053752584,1.222058816447966,0.13867865867031595,0.20173761514886243,0.48294892110102206,0.48643989214289196,0.16410348369475264,3.883044641772199,0.3041743426695734,0.38514573474862746,0.17114947998647073,0.1784422216805058
selection_corrupted_clean_train_pixelate_s3,graph_a2,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.720631186867299,0.7046366681336245,0.43897697309183864,1.0255640951974745,0.12044843777004259,0.14541562744223627,0.5123549905856988,0.5076188762709972,0.1948071367482691,4.255177155217909,0.3066667749302922,0.3507997481711822,0.1970177918626271,0.24416983634356954
selection_corrupted_clean_train_pixelate_s3,herding,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.722369914136125,0.7089220709297954,0.45354776323226204,1.1405031303065947,0.1442406280934235,0.15606435545676883,0.5371906768234636,0.5279844721525955,0.2269119236028437,3.5599150494571417,0.30590355996490504,0.3375580260311928,0.18093759877720003,0.2266358396294183
selection_corrupted_clean_train_pixelate_s3,random,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7243596265422728,0.709278478011923,0.46890539197525943,1.0563384295266627,0.13603545402658873,0.14733974856587007,0.5440664816861783,0.5312320120699722,0.23913053184058092,2.9305092338827774,0.28942955296553086,0.3204789694198875,0.17804646594195073,0.22977486013467846
selection_corrupted_corrupted_train_pixelate_s3,el2n_top,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.45624872497053187,0.46811025327609973,0.09135235070215128,2.8812486826162775,0.3259333929636376,0.40853756897937554,0.34397306886898726,0.3439056228411501,0.041368199767618956,12.48011614609985,0.44279588515560225,0.5468841346660596,0.1242046304349496,0.04998415093453232
selection_corrupted_corrupted_train_pixelate_s3,eva,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.5530435124863012,0.5501625497887516,0.21304441741677538,2.2704376563224065,0.2706598657052241,0.34062904656706083,0.4097200718247621,0.40858625764972406,0.10227132174171623,5.272367777169177,0.4041644566495635,0.5040195615942408,0.14157629213902753,0.11077309567505915
selection_corrupted_corrupted_train_pixelate_s3,facility,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7081473847038493,0.6984432296180224,0.43902019539789194,1.1199996338879967,0.14004082246073513,0.1631951804250227,0.5310053654585853,0.5297673486912806,0.2354585559827264,4.290721978452409,0.29969452105289357,0.33974863352758555,0.16867588092674177,0.20356163941516553
selection_corrupted_corrupted_train_pixelate_s3,forgetting,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.5385967411085273,0.52887658916283,0.16710654021892055,2.3312777593508422,0.3056021679640984,0.3349092777012253,0.4090798041966902,0.3951340521342578,0.08517713695404298,4.585550150774901,0.42656735019396896,0.4887012293958578,0.13374253702857217,0.08192940326487755
selection_corrupted_corrupted_train_pixelate_s3,fps,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.6424910260432156,0.6376483698586319,0.2882744712435962,1.345165293293818,0.16032058883834996,0.2203943203519143,0.4927163242672207,0.48908459075206734,0.1672874903525199,2.803571708126783,0.2904705646812319,0.3705558060445865,0.1485637791065646,0.12098698089107625
selection_corrupted_corrupted_train_pixelate_s3,graph_a2,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7180901254938923,0.7058173648250052,0.43683331423581057,1.0787955580606372,0.1393187299693354,0.15388062293503602,0.5469523119484063,0.540508192016443,0.25178568477027785,2.6179842860867395,0.28868604634067674,0.31671384033329375,0.16530917280856233,0.18504762946553271
selection_corrupted_corrupted_train_pixelate_s3,herding,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7240398351060288,0.7074714053184109,0.43529533685556093,1.072368424604623,0.14559246252442345,0.14871300922273595,0.5374089416126387,0.5298364590591735,0.23530717589527775,3.194666509903327,0.3107883178600421,0.332125318242899,0.1776349462592373,0.19998816096028318
selection_corrupted_corrupted_train_pixelate_s3,random,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.6859785900742824,0.671776955369445,0.41471547409640824,1.2707776815085479,0.1641762937184345,0.18015453126983577,0.5148958675495718,0.5032996158486177,0.21806682387836815,3.273062342035815,0.31249467534342334,0.35404058789389364,0.16847733952082738,0.1966486502180401
